Tipo	Sucessos	Custo_de_fabricação_(em_reais)
B	B	153,7
B	B	163,7
B	B	140,0
B	B	155,2
C	F	155,8
C	F	162,8
B	B	154,7
C	F	149,1
B	B	169,7
C	F	161,4
A	F	142,7
B	B	149,0
A	F	152,8
B	B	151,3
B	B	139,3
A	F	165,9
B	B	154,6
C	F	138,7
A	F	166,0
B	B	156,1
A	F	151,7
B	B	153,2
B	B	163,1
A	F	141,8
A	F	140,4
A	F	132,2
B	B	152,3
C	F	131,7
A	F	173,2
B	B	145,5
B	B	158,9
B	B	157,4
C	F	165,3
A	F	143,7
B	B	157,1
A	F	138,5
A	F	163,8
C	F	153,2
B	B	145,6
A	F	150,7
A	F	133,2
B	B	154,4
C	F	144,6
B	B	139,3
A	F	147,8
B	B	165,1
A	F	135,7
B	B	151,9
C	F	146,0
B	B	153,5
